#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL,STD_DEV
81,Danny Amendola,WR,FA,8.1,2.1,1.8,5.7,0,3.1,6.2,5.4,7.9,1,0,0,6.2,6.6,2,3.7,0.6,4.3,60.4,2.784646487
82,Braxton Berrios,WR,MIA,0,11.9,12.4,0,1.3,1.8,3.5,3.4,1.3,0,0,0,3.3,4.9,0.9,12,3.6,3.8,60.3,4.232801554
83,KJ Hamler,WR,BUF,0,5.7,2.8,0,0,0,3.4,7.3,9,5,3.5,0.8,2.9,20.6,0.4,0.3,0,4.6,60.1,5.047744366
84,Anthony Miller,WR,BAL,13.6,0,11,1.6,2.8,0.8,2,7.3,3.9,2.8,0,2.8,5.9,1.6,1.3,1,1.3,3.7,59.7,3.735974926
85,Tyron Billy-Johnson,WR,DAL,0,0,0,11.3,0.7,0,1,0,5,0,5.4,6.3,0.1,11.5,12.1,2.6,3.5,5,59.5,4.287190222
86,Michael Pittman Jr.,WR,IND,1,3.7,2.6,0,0,0,BYE,0.6,5.6,12.2,12.6,2.8,4.6,4.5,1.9,3.8,3,4.5,58.9,3.710158142
87,Henry Ruggs III,WR,FA,6.6,0.4,0,0,17.8,0,4.5,0.9,1,3.1,1.7,5.4,12.4,1.8,0,0.7,1.8,4.5,58.1,4.767813075
88,Chris Conley,WR,SF,0.6,4.8,3.4,4.4,5.8,0.6,8.8,0,5.2,4.3,1.3,0,0.8,0,7.3,2.7,8.7,3.8,57.1,2.942611415
89,Preston Williams,WR,FA,4.1,4.6,6.7,3.5,16.6,7.8,0,1.5,12,0,0,0,0,0,0,0,0,7.1,56.8,4.777281878
90,Jalen Reagor,WR,NE,5.5,4.1,0,0,BYE,0,0,10.2,0,4.7,5.2,1.1,10.5,6.5,3.9,3,1.5,5.1,56.2,3.381914214
91,Cam Sims,WR,FA,0,0,0,1.7,0,8.2,2.2,0,11,5.4,2,0,9.2,1.3,2.6,6.3,4.3,3.4,54.2,3.494513743
92,Keke Coutee,WR,FA,0,0.9,0,0,0,0,0,0,0,0,7,3.7,14.1,6.4,9.3,5.4,9,6.8,54,4.316621132
93,Golden Tate,WR,FA,0,4.7,3.6,2,4.2,1.1,9.9,9.8,0,4.4,0,3.6,3,3.9,1.3,0,0,4.3,51.5,3.011305112
94,Sammy Watkins,WR,FA,14.5,1.1,6.2,2.3,8.4,0,0,0,0,0,0,3.8,3.5,5.2,6,0.4,0,5.1,51.4,3.912503247
95,Jakeem Grant Sr.,WR,ATL,2.5,0.2,4.8,3.6,0.6,4.8,0,7.5,3.5,10.3,1.5,1.5,4.2,3.2,0,4.3,0,3.7,51.3,2.754863582
96,Miles Boykin,WR,NYG,3.7,3.8,0.8,2.8,0,1.1,0,8,1.1,0,0,0,9.8,1.5,6.4,1.3,10.3,3.2,50.6,3.425257296
97,Deebo Samuel Sr.,WR,SF,0,0,0,4.5,2.2,12,7.2,0,0,0,BYE,13.3,7.6,0.9,0,0,0,6.8,47.7,4.431311706
98,Larry Fitzgerald,WR,FA,3.4,5,0,0.4,3.5,2.2,6.2,0,5.4,1.3,6.2,0,0,1,9.5,2.8,0,3.6,46.9,2.778501251
98,Quintez Cephus,WR,HOU,4.3,5.4,0,0,0,0,0,BYE,3.1,1,0.9,2.7,12.3,1.6,3.6,0.9,11.1,3.6,46.9,3.705691358
100,Kenny Golladay,WR,FA,0,0,11.7,12.2,0,10.5,11.4,0,0,0,0,0,0,0,0,0,0,9.2,45.8,4.866146028
101,Donovan Peoples-Jones,WR,DET,0,0,0,0,0,0,11.6,0,0,1.6,0,0,15.2,9.4,5.5,0,1.1,3.7,44.4,4.677968683
102,Michael Thomas,WR,FA,1.7,0,0,0,0,0,0,0,5.1,2.7,10.4,5.1,10.5,8.4,0,0,0,6.3,43.9,3.740121938
103,Marvin Hall,WR,FA,2.6,8.4,0,0,0,0.7,0,11.3,2.8,12.1,1.6,1.6,0,0,0,1.2,0,3.5,42.3,3.918715629
104,Richie James Jr.,WR,FA,0,0,0,0,0,0,0,0,24.4,0.6,0,2.9,0,3.3,3.6,0,6.6,3.8,41.4,5.794108689
105,Collin Johnson,WR,CHI,1.4,0,0.3,0,9,0,1.3,0,0.9,0,0,15.6,8.6,3.3,0.8,0,0,2.9,41.2,4.301508547
106,N'Keal Harry,WR,MIN,1.9,7.2,3.6,8.1,0,0,0.6,0,0,0,4.1,0.2,7.5,4.9,1.2,0.3,1.7,2.9,40.9,2.824007312
107,DaeSean Hamilton,WR,FA,1.8,0.5,0,0.9,0,0,2.6,14.2,1.2,7.3,0,0,0,1.3,0,7.7,1.8,2.5,39.3,3.763584392
108,Denzel Mims,WR,JAC,0,0,0,0,0,0,4.2,4.2,6.2,0,7.1,6.7,6,0,1.8,0,1.5,4.2,37.7,2.732212052
109,Julian Edelman,WR,FA,8,17.9,2.2,3.5,0,2.3,1.3,0,0,0,0,0,0,0,0,0,0,5.9,35.2,4.443073222
110,Adam Humphries,WR,FA,4.7,10.8,4.1,0,0,12.4,1.9,0,0,0,0,0,0.9,0,0,0,0,5,34.8,3.776727131
111,Cedrick Wilson Jr.,WR,NO,0,0,22.7,3.4,6.6,1,0,1.1,0.6,0,0.7,0.1,0,0,0.5,0,0.3,2.2,34.6,5.386751658
112,Andy Isabella,WR,BUF,0,6.7,16.1,0.3,3,0,0.7,0,1,1.4,0.6,3.3,0.7,0,0,0,0,2.6,33.8,3.919616181
113,Olamide Zaccheaus,WR,WAS,0,1,4.1,8.6,1.3,0,0,0,16.3,0,1,1.1,0,0,0,0,0,3,33.4,4.17089935
114,Devin Duvernay,WR,JAC,1.2,1.9,6.7,0.4,5.9,3.1,0,3.9,0.1,4.5,0.5,2,0.2,0,0,0.7,2.2,2.1,33.1,2.091736915
115,DeSean Jackson,WR,FA,4.6,6.4,1.1,0,0,0,4.6,0,0,0,0,0,0,0,0,14.1,0,6.2,30.8,3.658170927
116,Steven Sims Jr.,WR,HOU,5,3.3,0,0,0,0,0,BYE,0.4,4.6,7.3,0.8,1.7,0.5,1.1,3.2,2.4,2.5,30.3,2.152170053
117,Chad Beebe,WR,FA,0,0,0.7,0,1.1,1.3,0,1.6,0,1.6,0,10.3,1,0,2.1,0,10.4,2.2,30.1,3.207301359
118,Chad Hansen,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,10.1,5.6,11.5,0.8,1.6,5.9,29.6,3.575086807
119,Tyler Johnson,WR,LAR,0,0,0,0,6.1,6.7,6.4,3.5,1.1,0,0,0,0,0,0,3.5,1.6,2.1,28.9,2.451890027
120,Dontrelle Inman,WR,FA,2.1,1.7,15.8,2.9,0.2,4.5,0,0,0,0,0,1.5,0,0,0,0,0,2.8,28.3,3.752941176
121,Byron Pringle,WR,WAS,0,0,0,0,2.3,4.6,6,2.2,0,0,1.7,0,0,0,0,0,11.2,2.3,28,2.965511095
122,Freddie Swain,WR,CHI,1.7,8.1,1.3,3.2,1.4,0,0,0,0,3.7,0,0,0,8.2,0.3,0,0,1.7,27.9,2.630378819
122,Van Jefferson,WR,PIT,3.1,4.4,0,0,0,0.8,1.4,2.3,0,1.5,6.7,0,2.7,0,0,0,5,1.7,27.9,2.036449859
124,Deonte Harty,WR,BAL,2.6,3.4,0.5,2,0,0,10.6,1.7,4,0.4,2.5,0,0,0,0,0,0,3.1,27.7,2.60198221
125,Isaiah Ford,WR,FA,1.3,7.6,1.4,4.8,2.3,0,0,1,0,0,0,0,0,0,1.8,3.7,3.7,2.8,27.6,2.122021625
126,Mohamed Sanu Sr.,WR,FA,0,0,0.9,0,0,0,0,0,0,0,0,11.2,3.6,3.7,3.8,2.2,1.6,2.7,27,2.785019242
