#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,STD_DEV
93,Greg Dortch,WR,ARI,0,0,0,0,0,0,0,0,0.2,0,7.6,8.7,1.9,BYE,2,10.5,8.2,1.4,2.5,40.5,3.630465096
94,DeVante Parker,WR,FA,0,5.7,1.9,3.3,2,0.7,0.8,1.4,0,0,0,4.2,6.4,0,4.4,6.5,1.5,0.6,3,39.4,2.244224412
95,Isaiah Hodgins,WR,NYG,0.4,10,0,2.4,1.9,0,1.3,0,0,0,2.2,7.2,BYE,8.2,0,0,1.8,3.6,2.3,39,3.085730076
96,Brandon Powell,WR,MIN,0,2,0.5,0,5.2,1.9,6.9,1.2,7.5,3.5,3.2,4.7,BYE,0,0,5.3,0,0.2,2.2,38.1,2.528084467
97,Jake Bobo,WR,SEA,0,0.3,6.5,0,BYE,4.3,12.1,8.6,0,1.3,0.8,0.6,0.9,0,0.4,0.8,0.4,0.9,2.4,37.9,3.446868093
98,Xavier Gipson,WR,NYJ,6,0,0,1.7,2,1.8,BYE,0.3,3.2,2.4,1.3,1.5,7.8,7.2,2.9,1.7,4.1,0.4,2.2,37.7,2.322136589
99,Trenton Irwin,WR,CIN,0,0,0,1.7,6,0,BYE,2.4,0,11.4,3.6,2.5,2.5,0,0,3.7,0.4,3.4,2.5,37.6,2.89337628
100,Jalin Hyatt,WR,NYG,0,8.9,0,1,0,2.1,7.5,0,1.9,0,0.7,10.9,BYE,1.3,0,0,2.5,0.5,2.3,37.3,3.344261211
101,Allen Lazard,WR,NYJ,4.6,2.3,3.9,12.1,3.3,0.8,BYE,4.5,1.8,1.7,0,0,0,0,2.1,0,0,0,2.7,37.1,2.964740896
102,Jalen Tolbert,WR,DAL,0,1.8,0,5.3,0,2,BYE,0,10.9,0.2,1.2,4.9,1.7,0,0,5.1,0.9,6.8,2.3,36.8,3.045343601
103,Calvin Austin III,WR,PIT,3.7,0.8,13.2,2.9,0,BYE,0.1,2.9,1,0.9,0,0.5,1,1.2,0,6.7,0,0.8,2.1,35.7,3.258112048
104,Andrei Iosivas,WR,CIN,0,0,0,0,0.9,6.3,BYE,6.2,0.9,0,0,1.6,0,0,0.5,3.6,0,15.6,2.5,35.6,3.943195269
105,Marquez Valdes-Scantling,WR,BUF,4.8,1.3,3.7,0.6,1.2,0,14.4,0.7,2.2,0,0,0.1,2.5,2.2,1.7,0,0.3,0,2.2,35.5,3.301388597
106,David Bell,WR,CLE,0,2.7,0,0,BYE,0.6,0,0,0,0,0,0,1.2,10.1,0,0.6,0.7,18.8,2.7,34.7,4.81762192
107,Lil'Jordan Humphrey,WR,DEN,7.1,0.4,0,1.1,0,0,0,0,BYE,1.4,0,1.3,1.2,1.2,7.6,0,12.9,0,2.1,34.2,3.545317102
108,Skyy Moore,WR,KC,0.4,13,4.2,1.9,1.1,2.2,1.5,0.8,3.3,BYE,0.4,3.4,0.5,0,0,0,0,0,2.3,32.7,3.061243387
109,Jauan Jennings,WR,SF,0,5.1,3.1,0,1.9,2.6,5.4,0,BYE,0.8,0,0.7,10.4,0,2.5,0,0,0,2.5,32.5,2.749948096
110,JuJu Smith-Schuster,WR,FA,3.3,2.8,0.5,1.4,0.6,0,0,6.3,5.1,0.9,0,1,1.1,9,0,0,0,0,2.9,32,2.518058237
111,Mike Williams,WR,NYJ,4.5,8.6,18.1,0,0,0,BYE,0,0,0,0,0,0,0,0,0,0,0,10.4,31.2,4.630835419
112,Braxton Berrios,WR,MIA,4.2,2.8,3.3,11.4,1.3,2,0.7,0.8,0,BYE,0,0,0,1.3,1.2,0,1,0.9,1.9,30.9,2.678066751
113,Bo Melton,WR,GB,0,0,0,0,0,BYE,0,0,0,0,0,0,0,0,0.7,5.1,16.5,7.6,6,29.9,4.228204851
114,Alex Erickson,WR,FA,0,0,0,0,0,0,0,0,0,0,1.2,1.7,2.3,0.9,7.3,3.1,9.8,2.9,3.7,29.2,2.691665233
115,Olamide Zaccheaus,WR,WAS,0,0,11.8,1.1,0,0.5,0,0.5,0.8,0,0,8.9,0,2.8,0,0,0,2,1.9,28.4,3.230334616
116,Scotty Miller,WR,PIT,0,0,0,0,1,0.4,4.6,7.4,0,6.2,0,0.4,0,0,0,1.5,0,6.6,1.9,28.1,2.556286127
117,Allen Robinson II,WR,NYG,6.4,1.2,2.4,0.8,2.9,0,0.7,0,1,0,2,1.1,1.9,2.1,1.9,3.6,0,0,1.6,28,1.580162517
118,Jamal Agnew,WR,FA,0.2,0.5,2.9,0,0.1,0,3.5,0,0,0,0,0,0,0,13,1.2,5.3,0,2.4,26.3,3.161267327
119,Kadarius Toney,WR,KC,0,3.8,0.1,2.2,2.7,6.4,1.3,0.1,1.8,BYE,2.6,0,0.6,4.1,0.5,0,0,0,2,26,1.819521212
120,Julio Jones,WR,FA,0,0,0,0,0,0,0.3,6.8,0,0,0.5,0,0,0,0.6,0.5,15.4,1.3,2.3,25.4,3.72825382
121,Mack Hollins,WR,BUF,3.1,6,2.3,0,2.9,4.1,0,2.7,3.6,0,0,0,BYE,0.4,0,0,0,0,1.9,25.1,1.870366247
122,Deonte Harty,WR,BAL,1.3,0.4,1.3,1,6.2,6.3,1,0,0,0,0.2,0,BYE,2.5,0,2,0,7.2,1.6,25,2.363388571
123,Ronnie Bell,WR,SF,0,0,8.4,0.7,0,0,0,0,BYE,2,0,0,0,0,0,7.2,0,6.5,1.6,24.8,2.796649008
124,Ihmir Smith-Marsette,WR,CAR,0,0,0,0,0,0,BYE,0,0,6,0,1.4,0,1,3.2,11.1,1.2,0.6,1.4,24.5,2.858436188
125,Treylon Burks,WR,TEN,2.7,7.6,0.5,0,0,0,BYE,0,2.8,0,0,0,0,0.6,6.4,2.2,1.1,0,2.2,23.9,2.261043639
126,Hunter Renfrow,WR,FA,0,2.3,1.7,1.2,0.7,0,1.4,1.9,3.2,0.5,4.2,3.8,0,2.6,0,0,0,0,1.5,23.5,1.381010991
127,Cedric Tillman,WR,CLE,0,0,0,0.5,BYE,0,0,0,0.3,0,1,5.5,2,2.3,5.2,1.3,0.8,4.3,1.9,23.2,1.832369465
127,KhaDarel Hodge,WR,ATL,0,0,1.5,1.9,1.1,0,1.9,7.5,6,0,BYE,0,0,1.8,1,0.5,0,0,1.5,23.2,2.111019039
127,Parker Washington,WR,JAC,0,0,0,0,0,0,0,0,BYE,0,0,0,12.1,6.7,1.2,1.9,0.2,1.1,2.6,23.2,3.124277079
130,Dyami Brown,WR,WAS,0,2.5,0,5.1,1.1,0,0,0,3.3,10.1,0.7,0,0,BYE,0,0,0,0.2,1.4,23,2.609736892
131,Jalen Reagor,WR,NE,0,0,0,0,0,0,1.1,0,1.1,0,BYE,0,1.1,0,0,3.3,9.9,5,2,21.5,2.547649707
