Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Darrell Henderson*,Memphis,American,13,214,1909,8.9,22,19,295,15.5,3,233,2204,9.5,25,darrell-henderson-1
2,Greg McCrae*,UCF,American,13,133,1182,8.9,10,8,116,14.5,1,141,1298,9.2,11,greg-mccrae-1
3,Kennedy Brooks*,Oklahoma,Big 12,12,119,1056,8.9,12,10,57,5.7,0,129,1113,8.6,12,kennedy-brooks-1
4,Reggie Corbin,Illinois,Big Ten,12,128,1085,8.5,9,16,176,11.0,0,144,1261,8.8,9,reggie-corbin-1
5,Travis Etienne*,Clemson,ACC,15,204,1658,8.1,24,12,78,6.5,2,216,1736,8.0,26,travis-etienne-1
6,Ke'Shawn Vaughn*,Vanderbilt,SEC,12,157,1244,7.9,12,13,170,13.1,2,170,1414,8.3,14,keshawn-vaughn-1
7,Anthony McFarland,Maryland,Big Ten,12,131,1034,7.9,4,7,73,10.4,0,138,1107,8.0,4,anthony-mcfarland-2
8,Darrin Hall*,Pitt,ACC,14,153,1144,7.5,10,15,66,4.4,0,168,1210,7.2,10,darrin-hall-1
9,Kyler Murray*,Oklahoma,Big 12,14,140,1001,7.2,12,0,0,,0,140,1001,7.2,12,kyler-murray-1
10,Jonathan Taylor*,Wisconsin,Big Ten,13,307,2194,7.1,16,8,60,7.5,0,315,2254,7.2,16,jonathan-taylor-1
11,Michael Carter,North Carolina,ACC,9,84,597,7.1,2,25,135,5.4,1,109,732,6.7,3,michael-carter-5
12,Pooka Williams,Kansas,Big 12,11,161,1125,7.0,7,33,289,8.8,2,194,1414,7.3,9,pooka-williams-1
13,Devine Ozigbo,Nebraska,Big Ten,12,155,1082,7.0,12,23,203,8.8,0,178,1285,7.2,12,devine-ozigbo-1
14,Darwin Thompson*,Utah State,MWC,13,153,1044,6.8,14,23,351,15.3,2,176,1395,7.9,16,darwin-thompson-1
15,Johnny Ford*,South Florida,American,11,115,787,6.8,8,3,78,26.0,1,118,865,7.3,9,johnny-ford-1
16,Elijah Mitchell*,Louisiana,Sun Belt,14,145,977,6.7,13,20,349,17.5,3,165,1326,8.0,16,elijah-mitchell-2
